[Organism]	[All genes]	[Prot genes]	[All pseudo -genes]	[Non prot genes]	[EC#]	[GO terms]	[SAGE tags]	[RNA Seq]	[ChIP chip]	[RT- PCR]	[ESTs]	[SNPs]	[Ortho logs]	[Micro arrays]	[Prote omics]	[TFBS]	[Comm unity entries]	[Data source]	[Project]	[Isolates]	[Is annotated]	[Is Reference Strain]	[Organism]	[NCBI taxon ID]	[Genome version]	[Mega base Pairs]	[Is published]	[Fasta Download Link]	[GFF Download Link]	[Gene Details Download Link]	
<i>Cryptosporidium hominis</i>  TU502	3956	3886	0	70	55	1686	-	-	-	-	-	-	3886	-	-	-	43	GenBank	CryptoDB	5829	1	1	Cryptosporidium hominis TU502	353151	2004-10-17	    8.74	1	http://CryptoDB.org/common/downloads/Current_Release/ChominisTU502/fasta/data/CryptoDB-24_ChominisTU502_Genome.fasta	http://CryptoDB.org/common/downloads/Current_Release/ChominisTU502/gff/data/CryptoDB-24_ChominisTU502.gff	http://CryptoDB.org/common/downloads/Current_Release/ChominisTU502/txt/CryptoDB-24_ChominisTU502Gene.txt	
<i>Cryptosporidium muris</i>  RN66	3980	3937	3	43	586	2084	-	-	-	-	581	-	3936	-	-	-	52	GenBank	CryptoDB	2235	1	1	Cryptosporidium muris RN66	441375	2008-10-16	    9.25	0	http://CryptoDB.org/common/downloads/Current_Release/CmurisRN66/fasta/data/CryptoDB-24_CmurisRN66_Genome.fasta	http://CryptoDB.org/common/downloads/Current_Release/CmurisRN66/gff/data/CryptoDB-24_CmurisRN66.gff	http://CryptoDB.org/common/downloads/Current_Release/CmurisRN66/txt/CryptoDB-24_CmurisRN66Gene.txt	
<i>Cryptosporidium parvum</i>  Iowa II	3886	3805	0	81	89	1859	-	3886	-	3287	1806	37	3805	1855	1320	-	99	GenBank	CryptoDB	-	1	1	Cryptosporidium parvum Iowa II	353152	2008-10-28	    9.10	1	http://CryptoDB.org/common/downloads/Current_Release/CparvumIowaII/fasta/data/CryptoDB-24_CparvumIowaII_Genome.fasta	http://CryptoDB.org/common/downloads/Current_Release/CparvumIowaII/gff/data/CryptoDB-24_CparvumIowaII.gff	http://CryptoDB.org/common/downloads/Current_Release/CparvumIowaII/txt/CryptoDB-24_CparvumIowaIIGene.txt	
<i>Chromera velia</i>  CCMP2878	32001	31799	276	202	-	10320	-	32001	-	-	1637	-	24101	-	-	-	-	PainLab	CryptoDB	13	1	1	Chromera velia CCMP2878	1169474	2014-05-15	  193.89	1	http://CryptoDB.org/common/downloads/Current_Release/CveliaCCMP2878/fasta/data/CryptoDB-24_CveliaCCMP2878_Genome.fasta	http://CryptoDB.org/common/downloads/Current_Release/CveliaCCMP2878/gff/data/CryptoDB-24_CveliaCCMP2878.gff	http://CryptoDB.org/common/downloads/Current_Release/CveliaCCMP2878/txt/CryptoDB-24_CveliaCCMP2878Gene.txt	
<i>Eimeria acervulina</i>  Houghton	7105	6867	11	238	41	2368	-	-	-	-	1951	-	5527	-	-	-	-	GenBank	ToxoDB	99	1	1	Eimeria acervulina Houghton	null	2013-11-05	   45.83	0	http://ToxoDB.org/common/downloads/Current_Release/EacervulinaHoughton/fasta/data/ToxoDB-24_EacervulinaHoughton_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/EacervulinaHoughton/gff/data/ToxoDB-24_EacervulinaHoughton.gff	http://ToxoDB.org/common/downloads/Current_Release/EacervulinaHoughton/txt/ToxoDB-24_EacervulinaHoughtonGene.txt	
<i>Edhazardia aedis</i>  USNM 41457	4281	4209	2	72	47	1185	-	-	-	-	119	-	2348	-	-	-	-	GenBank	MicrosporidiaDB	-	1	1	Edhazardia aedis USNM 41457	1003232	2012-08-27	   46.60	0	http://MicrosporidiaDB.org/common/downloads/Current_Release/EaedisUSNM41457/fasta/data/MicrosporidiaDB-24_EaedisUSNM41457_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EaedisUSNM41457/gff/data/MicrosporidiaDB-24_EaedisUSNM41457.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EaedisUSNM41457/txt/MicrosporidiaDB-24_EaedisUSNM41457Gene.txt	
<i>Enterocytozoon bieneusi</i>  H348	3806	3633	3	173	358	1461	-	-	-	-	-	-	3631	-	-	-	-	GenBank	MicrosporidiaDB	1056	1	1	Enterocytozoon bieneusi H348	481877	2009-01-13	    3.86	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/EbieneusiH348/fasta/data/MicrosporidiaDB-24_EbieneusiH348_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EbieneusiH348/gff/data/MicrosporidiaDB-24_EbieneusiH348.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EbieneusiH348/txt/MicrosporidiaDB-24_EbieneusiH348Gene.txt	
<i>Eimeria brunetti</i>  Houghton	9025	8711	12	314	25	2008	-	-	-	-	44	-	5204	-	-	-	-	GenBank	ToxoDB	92	1	1	Eimeria brunetti Houghton	null	2013-11-05	   66.89	0	http://ToxoDB.org/common/downloads/Current_Release/EbrunettiHoughton/fasta/data/ToxoDB-24_EbrunettiHoughton_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/EbrunettiHoughton/gff/data/ToxoDB-24_EbrunettiHoughton.gff	http://ToxoDB.org/common/downloads/Current_Release/EbrunettiHoughton/txt/ToxoDB-24_EbrunettiHoughtonGene.txt	
<i>Encephalitozoon cuniculi</i>  EC1	1898	1847	0	51	-	1067	-	-	-	-	18	-	1846	-	-	-	1	ubc	MicrosporidiaDB	70	1	0	Encephalitozoon cuniculi EC1	986730	2011-09-29	    2.24	0	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC1/fasta/data/MicrosporidiaDB-24_EcuniculiEC1_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC1/gff/data/MicrosporidiaDB-24_EcuniculiEC1.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC1/txt/MicrosporidiaDB-24_EcuniculiEC1Gene.txt	
<i>Encephalitozoon cuniculi</i>  EC2	1902	1851	0	51	-	1065	-	-	-	-	18	-	1850	-	-	-	1	ubc	MicrosporidiaDB	72	1	0	Encephalitozoon cuniculi EC2	989654	2011-09-29	    2.24	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC2/fasta/data/MicrosporidiaDB-24_EcuniculiEC2_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC2/gff/data/MicrosporidiaDB-24_EcuniculiEC2.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC2/txt/MicrosporidiaDB-24_EcuniculiEC2Gene.txt	
<i>Encephalitozoon cuniculi</i>  EC3	1898	1847	2	51	-	1067	-	-	-	-	18	-	1846	-	-	-	1	ubc	MicrosporidiaDB	75	1	0	Encephalitozoon cuniculi EC3	989655	2011-09-29	    2.24	0	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC3/fasta/data/MicrosporidiaDB-24_EcuniculiEC3_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC3/gff/data/MicrosporidiaDB-24_EcuniculiEC3.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiEC3/txt/MicrosporidiaDB-24_EcuniculiEC3Gene.txt	
<i>Encephalitozoon cuniculi</i>  GB-M1	2029	1996	0	33	-	1078	-	-	-	-	18	-	1996	-	-	-	-	GenBank	MicrosporidiaDB	154	1	1	Encephalitozoon cuniculi GB-M1	284813	2009-06-30	    2.50	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiGBM1/fasta/data/MicrosporidiaDB-24_EcuniculiGBM1_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiGBM1/gff/data/MicrosporidiaDB-24_EcuniculiGBM1.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EcuniculiGBM1/txt/MicrosporidiaDB-24_EcuniculiGBM1Gene.txt	
<i>Entamoeba dispar</i>  SAW760	10262	8748	7	1514	1964	4125	-	-	-	-	79	-	8748	-	-	-	27	JCVI	AmoebaDB	894	1	1	Entamoeba dispar SAW760	370354	2009-11-27	   22.96	0	http://AmoebaDB.org/common/downloads/Current_Release/EdisparSAW760/fasta/data/AmoebaDB-24_EdisparSAW760_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EdisparSAW760/gff/data/AmoebaDB-24_EdisparSAW760.gff	http://AmoebaDB.org/common/downloads/Current_Release/EdisparSAW760/txt/AmoebaDB-24_EdisparSAW760Gene.txt	
<i>Eimeria falciformis</i>  Bayer Haberkorn 1970	6749	6588	79	161	-	2978	-	-	-	-	1	-	5826	-	-	-	-	DieterichLab	ToxoDB	1490	1	1	Eimeria falciformis Bayer Haberkorn 1970	null	2014-02-10	   43.67	0	http://ToxoDB.org/common/downloads/Current_Release/EfalciformisBayerHaberkorn1970/fasta/data/ToxoDB-24_EfalciformisBayerHaberkorn1970_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/EfalciformisBayerHaberkorn1970/gff/data/ToxoDB-24_EfalciformisBayerHaberkorn1970.gff	http://ToxoDB.org/common/downloads/Current_Release/EfalciformisBayerHaberkorn1970/txt/ToxoDB-24_EfalciformisBayerHaberkorn1970Gene.txt	
<i>Encephalitozoon hellem</i>  ATCC 50504	2006	1928	0	78	54	1089	-	-	-	-	-	-	1918	-	-	-	1	GenBank	MicrosporidiaDB	154	1	1	Encephalitozoon hellem ATCC 50504	907965	2014-03-06	    2.25	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/EhellemATCC50504/fasta/data/MicrosporidiaDB-24_EhellemATCC50504_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EhellemATCC50504/gff/data/MicrosporidiaDB-24_EhellemATCC50504.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EhellemATCC50504/txt/MicrosporidiaDB-24_EhellemATCC50504Gene.txt	
<i>Encephalitozoon hellem</i>  Swiss	1864	1813	0	51	-	1060	-	-	-	-	-	-	1809	-	-	-	1	ubc	MicrosporidiaDB	70	1	0	Encephalitozoon hellem Swiss	null	2011-09-29	    2.18	0	http://MicrosporidiaDB.org/common/downloads/Current_Release/EhellemSwiss/fasta/data/MicrosporidiaDB-24_EhellemSwiss_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EhellemSwiss/gff/data/MicrosporidiaDB-24_EhellemSwiss.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EhellemSwiss/txt/MicrosporidiaDB-24_EhellemSwissGene.txt	
<i>Entamoeba histolytica</i>  HM-1:IMSS	8333	8306	105	27	1160	4599	-	8333	-	-	1167	-	8306	8302	2443	-	653	JCVI	AmoebaDB	566	1	1	Entamoeba histolytica HM-1:IMSS	294381	2009-11-27	   20.80	0	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS/fasta/data/AmoebaDB-24_EhistolyticaHM1IMSS_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS/gff/data/AmoebaDB-24_EhistolyticaHM1IMSS.gff	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS/txt/AmoebaDB-24_EhistolyticaHM1IMSSGene.txt	
<i>Entamoeba histolytica</i>  HM-1:IMSS-A	6331	6328	3	3	-	3196	-	-	-	-	1015	-	6316	-	-	-	-	GenBank	AmoebaDB	418	1	0	Entamoeba histolytica HM-1:IMSS-A	885318	2013-04-18	   12.29	0	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-A/fasta/data/AmoebaDB-24_EhistolyticaHM1IMSS-A_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-A/gff/data/AmoebaDB-24_EhistolyticaHM1IMSS-A.gff	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-A/txt/AmoebaDB-24_EhistolyticaHM1IMSS-AGene.txt	
<i>Entamoeba histolytica</i>  HM-1:IMSS-B	6311	6301	0	10	-	3181	-	-	-	-	831	-	6248	-	-	-	-	GenBank	AmoebaDB	359	1	0	Entamoeba histolytica HM-1:IMSS-B	885319	2013-03-08	   12.78	0	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-B/fasta/data/AmoebaDB-24_EhistolyticaHM1IMSS-B_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-B/gff/data/AmoebaDB-24_EhistolyticaHM1IMSS-B.gff	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-B/txt/AmoebaDB-24_EhistolyticaHM1IMSS-BGene.txt	
<i>Entamoeba histolytica</i>  HM-3:IMSS	7362	7359	1	3	-	3446	-	-	-	-	1133	-	7158	-	-	-	-	GenBank	AmoebaDB	569	1	0	Entamoeba histolytica HM-3:IMSS	885315	2013-04-01	   13.83	0	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM3IMSS/fasta/data/AmoebaDB-24_EhistolyticaHM3IMSS_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM3IMSS/gff/data/AmoebaDB-24_EhistolyticaHM3IMSS.gff	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM3IMSS/txt/AmoebaDB-24_EhistolyticaHM3IMSSGene.txt	
<i>Entamoeba histolytica</i>  KU27	7469	7455	0	14	-	3724	-	-	-	-	1230	-	7415	-	-	-	-	GenBank	AmoebaDB	454	1	0	Entamoeba histolytica KU27	885311	2013-02-12	   15.27	0	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU27/fasta/data/AmoebaDB-24_EhistolyticaKU27_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU27/gff/data/AmoebaDB-24_EhistolyticaKU27.gff	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU27/txt/AmoebaDB-24_EhistolyticaKU27Gene.txt	
<i>Encephalitozoon intestinalis</i>  ATCC 50506	2011	1939	0	72	55	1086	-	-	-	-	-	-	1904	-	-	-	1	GenBank	MicrosporidiaDB	133	1	1	Encephalitozoon intestinalis ATCC 50506	876142	2014-03-07	    2.22	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/EintestinalisATCC50506/fasta/data/MicrosporidiaDB-24_EintestinalisATCC50506_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EintestinalisATCC50506/gff/data/MicrosporidiaDB-24_EintestinalisATCC50506.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EintestinalisATCC50506/txt/MicrosporidiaDB-24_EintestinalisATCC50506Gene.txt	
<i>Entamoeba invadens</i>  IP1	11975	11549	24	426	1249	5260	-	11975	-	-	-	-	11548	-	-	-	13	GenBank	AmoebaDB	759	1	1	Entamoeba invadens IP1	370355	2009-11-27	   40.89	0	http://AmoebaDB.org/common/downloads/Current_Release/EinvadensIP1/fasta/data/AmoebaDB-24_EinvadensIP1_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EinvadensIP1/gff/data/AmoebaDB-24_EinvadensIP1.gff	http://AmoebaDB.org/common/downloads/Current_Release/EinvadensIP1/txt/AmoebaDB-24_EinvadensIP1Gene.txt	
<i>Eimeria maxima</i>  Weybridge	6369	6057	14	312	24	1939	-	-	-	-	1848	-	4817	-	-	-	-	GenBank	ToxoDB	269	1	1	Eimeria maxima Weybridge	null	2013-11-05	   45.98	0	http://ToxoDB.org/common/downloads/Current_Release/EmaximaWeybridge/fasta/data/ToxoDB-24_EmaximaWeybridge_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/EmaximaWeybridge/gff/data/ToxoDB-24_EmaximaWeybridge.gff	http://ToxoDB.org/common/downloads/Current_Release/EmaximaWeybridge/txt/ToxoDB-24_EmaximaWeybridgeGene.txt	
<i>Eimeria mitis</i>  Houghton	10348	10077	14	271	26	1719	-	-	-	-	-	-	5351	-	-	-	-	GenBank	ToxoDB	120	1	1	Eimeria mitis Houghton	null	2013-11-05	   72.24	0	http://ToxoDB.org/common/downloads/Current_Release/EmitisHoughton/fasta/data/ToxoDB-24_EmitisHoughton_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/EmitisHoughton/gff/data/ToxoDB-24_EmitisHoughton.gff	http://ToxoDB.org/common/downloads/Current_Release/EmitisHoughton/txt/ToxoDB-24_EmitisHoughtonGene.txt	
<i>Endotrypanum monterogeii</i>  strain LV88	8414	8285	0	129	51	3817	-	-	-	-	-	-	8132	-	-	-	-	GeneDB	TriTrypDB	516	1	1	Endotrypanum monterogeii strain LV88	null	2015-01-16	   32.52	0	http://TriTrypDB.org/common/downloads/Current_Release/EmonterogeiiLV88/fasta/data/TriTrypDB-24_EmonterogeiiLV88_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/EmonterogeiiLV88/gff/data/TriTrypDB-24_EmonterogeiiLV88.gff	http://TriTrypDB.org/common/downloads/Current_Release/EmonterogeiiLV88/txt/TriTrypDB-24_EmonterogeiiLV88Gene.txt	
<i>Entamoeba moshkovskii</i>  Laredo	12518	12449	189	69	-	4924	-	-	-	-	-	-	12165	-	-	-	68	liverpool	AmoebaDB	950	1	1	Entamoeba moshkovskii Laredo	null	2012-10-15	   25.25	0	http://AmoebaDB.org/common/downloads/Current_Release/EmoshkovskiiLaredo/fasta/data/AmoebaDB-24_EmoshkovskiiLaredo_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EmoshkovskiiLaredo/gff/data/AmoebaDB-24_EmoshkovskiiLaredo.gff	http://AmoebaDB.org/common/downloads/Current_Release/EmoshkovskiiLaredo/txt/AmoebaDB-24_EmoshkovskiiLaredoGene.txt	
<i>Eimeria necatrix</i>  Houghton	8864	8603	8	261	55	2707	-	-	-	-	-	-	6797	-	-	-	-	GeneDB	ToxoDB	157	1	1	Eimeria necatrix Houghton	null	2014-01-28	   55.01	0	http://ToxoDB.org/common/downloads/Current_Release/EnecatrixHoughton/fasta/data/ToxoDB-24_EnecatrixHoughton_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/EnecatrixHoughton/gff/data/ToxoDB-24_EnecatrixHoughton.gff	http://ToxoDB.org/common/downloads/Current_Release/EnecatrixHoughton/txt/ToxoDB-24_EnecatrixHoughtonGene.txt	
<i>Entamoeba nuttalli</i>  P19	6193	6187	0	6	111	3095	-	-	-	-	-	-	6168	-	-	-	-	genbank	AmoebaDB	286	1	1	Entamoeba nuttalli P19	1076696	2012-09-27	   14.40	0	http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/fasta/data/AmoebaDB-24_EnuttalliP19_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/gff/data/AmoebaDB-24_EnuttalliP19.gff	http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/txt/AmoebaDB-24_EnuttalliP19Gene.txt	
<i>Eimeria praecox</i>  Houghton	8025	7635	17	390	13	1283	-	-	-	-	-	-	3745	-	-	-	-	GenBank	ToxoDB	132	1	1	Eimeria praecox Houghton	null	2013-11-05	   60.08	0	http://ToxoDB.org/common/downloads/Current_Release/EpraecoxHoughton/fasta/data/ToxoDB-24_EpraecoxHoughton_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/EpraecoxHoughton/gff/data/ToxoDB-24_EpraecoxHoughton.gff	http://ToxoDB.org/common/downloads/Current_Release/EpraecoxHoughton/txt/ToxoDB-24_EpraecoxHoughtonGene.txt	
<i>Encephalitozoon romaleae</i>  SJ-2008	1883	1832	1	51	49	1076	-	-	-	-	-	-	1824	-	-	-	-	GenBank	MicrosporidiaDB	44	1	1	Encephalitozoon romaleae SJ-2008	1178016	2012-08-02	    2.19	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/EromaleaeSJ2008/fasta/data/MicrosporidiaDB-24_EromaleaeSJ2008_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/EromaleaeSJ2008/gff/data/MicrosporidiaDB-24_EromaleaeSJ2008.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/EromaleaeSJ2008/txt/MicrosporidiaDB-24_EromaleaeSJ2008Gene.txt	
<i>Eimeria tenella</i>  strain Houghton	8634	8597	0	37	46	2735	-	8634	-	-	3318	-	7223	-	279	-	83	GenBank	ToxoDB	489	1	1	Eimeria tenella strain Houghton	413949	2013-11-05	   51.86	1	http://ToxoDB.org/common/downloads/Current_Release/EtenellaHoughton/fasta/data/ToxoDB-24_EtenellaHoughton_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/EtenellaHoughton/gff/data/ToxoDB-24_EtenellaHoughton.gff	http://ToxoDB.org/common/downloads/Current_Release/EtenellaHoughton/txt/ToxoDB-24_EtenellaHoughtonGene.txt	
<i>Giardia Assemblage A</i> 2 isolate DH	5209	5147	1	62	-	2343	-	-	-	-	3050	-	5120	-	-	-	-	GenBank	GiardiaDB	4568	1	0	Giardia Assemblage A2 isolate DH	null	2013-11-25	   10.70	1	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageADH/fasta/data/GiardiaDB-24_GintestinalisAssemblageADH_Genome.fasta	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageADH/gff/data/GiardiaDB-24_GintestinalisAssemblageADH.gff	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageADH/txt/GiardiaDB-24_GintestinalisAssemblageADHGene.txt	
<i>Giardia Assemblage A</i>  isolate WB	9747	9667	2	80	320	2502	5949	5981	-	-	3280	-	5901	5856	3598	-	392	GenBank	GiardiaDB	469	1	1	Giardia Assemblage A isolate WB	184922	2013-02-08	   12.83	1	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageA/fasta/data/GiardiaDB-24_GintestinalisAssemblageA_Genome.fasta	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageA/gff/data/GiardiaDB-24_GintestinalisAssemblageA.gff	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageA/txt/GiardiaDB-24_GintestinalisAssemblageAGene.txt	
<i>Giardia Assemblage B</i>  isolate GS	4562	4470	0	92	-	2111	-	4562	-	-	57	-	4470	-	-	-	30	GenBank	GiardiaDB	4163	1	0	Giardia Assemblage B isolate GS	598745	2009-07-13	   11.00	1	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageB/fasta/data/GiardiaDB-24_GintestinalisAssemblageB_Genome.fasta	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageB/gff/data/GiardiaDB-24_GintestinalisAssemblageB.gff	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageB/txt/GiardiaDB-24_GintestinalisAssemblageBGene.txt	
<i>Giardia Assemblage B</i>  isolate GS_B	6166	6098	0	68	-	2606	-	-	-	-	38	-	5856	-	-	-	-	GenBank	GiardiaDB	3469	1	0	Giardia Assemblage B isolate GS_B	null	2013-11-25	   12.01	1	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageBGS_B/fasta/data/GiardiaDB-24_GintestinalisAssemblageBGS_B_Genome.fasta	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageBGS_B/gff/data/GiardiaDB-24_GintestinalisAssemblageBGS_B.gff	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageBGS_B/txt/GiardiaDB-24_GintestinalisAssemblageBGS_BGene.txt	
<i>Giardia Assemblage E</i>  isolate P15	5159	5067	60	92	-	2404	-	5159	-	-	734	-	5065	-	-	-	4	GenBank	GiardiaDB	3988	1	0	Giardia Assemblage E isolate P15	658858	2010-10-05	   11.52	1	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageE/fasta/data/GiardiaDB-24_GintestinalisAssemblageE_Genome.fasta	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageE/gff/data/GiardiaDB-24_GintestinalisAssemblageE.gff	http://GiardiaDB.org/common/downloads/Current_Release/GintestinalisAssemblageE/txt/GiardiaDB-24_GintestinalisAssemblageEGene.txt	
<i>Gregarina niphandrodes</i>  Unknown strain	6606	6375	0	231	439	2314	-	-	-	-	389	-	4197	-	-	-	-	GenBank	CryptoDB	-	1	1	Gregarina niphandrodes Unknown strain	null	2014-04-15	   14.01	0	http://CryptoDB.org/common/downloads/Current_Release/GniphandrodesUnknown/fasta/data/CryptoDB-24_GniphandrodesUnknown_Genome.fasta	http://CryptoDB.org/common/downloads/Current_Release/GniphandrodesUnknown/gff/data/CryptoDB-24_GniphandrodesUnknown.gff	http://CryptoDB.org/common/downloads/Current_Release/GniphandrodesUnknown/txt/CryptoDB-24_GniphandrodesUnknownGene.txt	
<i>Hammondia hammondi</i>  strain H.H.34	8176	8003	0	173	1181	3627	-	-	-	-	-	-	7558	-	-	-	7	GenBank	ToxoDB	3003	1	1	Hammondia hammondi strain H.H.34	null	2014-06-30	   67.70	0	http://ToxoDB.org/common/downloads/Current_Release/HhammondiHH34/fasta/data/ToxoDB-24_HhammondiHH34_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/HhammondiHH34/gff/data/ToxoDB-24_HhammondiHH34.gff	http://ToxoDB.org/common/downloads/Current_Release/HhammondiHH34/txt/ToxoDB-24_HhammondiHH34Gene.txt	
<i>Leishmania aethiopica</i>  L147	8826	8722	0	104	43	3764	-	-	-	-	-	-	8628	-	-	-	9	GeneDB	TriTrypDB	210	1	1	Leishmania aethiopica L147	1206056	2014-12-16	   31.63	0	http://TriTrypDB.org/common/downloads/Current_Release/LaethiopicaL147/fasta/data/TriTrypDB-24_LaethiopicaL147_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LaethiopicaL147/gff/data/TriTrypDB-24_LaethiopicaL147.gff	http://TriTrypDB.org/common/downloads/Current_Release/LaethiopicaL147/txt/TriTrypDB-24_LaethiopicaL147Gene.txt	
<i>Leishmania arabica</i>  strain LEM1108	8755	8646	0	109	50	3727	-	-	-	-	-	-	8570	-	-	-	9	GeneDB	TriTrypDB	478	1	1	Leishmania arabica strain LEM1108	null	2014-12-16	   31.27	0	http://TriTrypDB.org/common/downloads/Current_Release/LarabicaLEM1108/fasta/data/TriTrypDB-24_LarabicaLEM1108_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LarabicaLEM1108/gff/data/TriTrypDB-24_LarabicaLEM1108.gff	http://TriTrypDB.org/common/downloads/Current_Release/LarabicaLEM1108/txt/TriTrypDB-24_LarabicaLEM1108Gene.txt	
<i>Leishmania braziliensis</i>  MHOM/BR/75/M2903	9379	9269	0	110	56	3774	-	-	-	-	1	-	9079	-	-	-	9	GeneDB	TriTrypDB	88	1	0	Leishmania braziliensis MHOM/BR/75/M2903	1295825	2014-12-16	   35.21	0	http://TriTrypDB.org/common/downloads/Current_Release/LbraziliensisMHOMBR75M2903/fasta/data/TriTrypDB-24_LbraziliensisMHOMBR75M2903_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LbraziliensisMHOMBR75M2903/gff/data/TriTrypDB-24_LbraziliensisMHOMBR75M2903.gff	http://TriTrypDB.org/common/downloads/Current_Release/LbraziliensisMHOMBR75M2903/txt/TriTrypDB-24_LbraziliensisMHOMBR75M2903Gene.txt	
